Date,Start (local),Visitor/Neutral,PTS,Home/Neutral,PTS,,Overtimes,Notes
Fri Dec 9 2016,12:00 AM NUL,Galatasaray Odeabank,58,Panathinaikos Superfoods,85,,,Regular Season
Fri Dec 9 2016,12:00 AM NUL,Darussafaka Dogus,52,Baskonia,73,,,Regular Season
Thu Dec 15 2016,12:00 AM NUL,Anadolu Efes,83,Brose Bamberg,91,,,Regular Season
Thu Dec 15 2016,12:00 AM NUL,Real Madrid,68,Darussafaka Dogus,81,,,Regular Season
Thu Dec 15 2016,12:00 AM NUL,Maccabi FOX Tel Aviv,58,Crvena Zvezda mts,83,,,Regular Season
Thu Dec 15 2016,12:00 AM NUL,Baskonia,92,UNICS,91,,,Regular Season
Thu Dec 15 2016,12:00 AM NUL,Olympiacos,88,Zalgiris,75,,,Regular Season
Fri Dec 16 2016,12:00 AM NUL,FC Barcelona Lassa,76,CSKA Moscow,92,,,Regular Season
Fri Dec 16 2016,12:00 AM NUL,EA7 Emporio Armani Milan,80,Galatasaray Odeabank,83,,,Regular Season
Fri Dec 16 2016,12:00 AM NUL,Fenerbahce,70,Panathinaikos Superfoods,81,,,Regular Season
Tue Dec 20 2016,12:00 AM NUL,Zalgiris,84,Anadolu Efes,71,,,Regular Season
Tue Dec 20 2016,12:00 AM NUL,Crvena Zvezda mts,65,Olympiacos,73,,,Regular Season
Tue Dec 20 2016,12:00 AM NUL,Brose Bamberg,72,Real Madrid,95,,,Regular Season
Tue Dec 20 2016,12:00 AM NUL,Galatasaray Odeabank,60,UNICS,73,,,Regular Season
Wed Dec 21 2016,12:00 AM NUL,CSKA Moscow,80,Maccabi FOX Tel Aviv,76,,,Regular Season
Wed Dec 21 2016,12:00 AM NUL,Panathinaikos Superfoods,86,EA7 Emporio Armani Milan,72,,,Regular Season
Wed Dec 21 2016,12:00 AM NUL,Darussafaka Dogus,71,Fenerbahce,64,,,Regular Season
Wed Dec 21 2016,12:00 AM NUL,FC Barcelona Lassa,62,Baskonia,65,,,Regular Season
Thu Dec 22 2016,12:00 AM NUL,Olympiacos,68,Brose Bamberg,82,,,Regular Season
Thu Dec 22 2016,12:00 AM NUL,Anadolu Efes,86,Galatasaray Odeabank,76,,,Regular Season
Thu Dec 22 2016,12:00 AM NUL,Real Madrid,70,Crvena Zvezda mts,82,,,Regular Season
Thu Dec 22 2016,12:00 AM NUL,UNICS,88,Zalgiris,80,,,Regular Season
Fri Dec 23 2016,12:00 AM NUL,EA7 Emporio Armani Milan,75,FC Barcelona Lassa,89,,,Regular Season
Fri Dec 23 2016,12:00 AM NUL,Fenerbahce,95,CSKA Moscow,79,,,Regular Season
Fri Dec 23 2016,12:00 AM NUL,Maccabi FOX Tel Aviv,84,Darussafaka Dogus,86,,,Regular Season
Fri Dec 23 2016,12:00 AM NUL,Baskonia,68,Panathinaikos Superfoods,69,,,Regular Season
Thu Dec 29 2016,12:00 AM NUL,Real Madrid,80,Anadolu Efes,78,,,Regular Season
Thu Dec 29 2016,12:00 AM NUL,Zalgiris,78,EA7 Emporio Armani Milan,70,,,Regular Season
Thu Dec 29 2016,12:00 AM NUL,Fenerbahce,62,Olympiacos,71,,,Regular Season
Thu Dec 29 2016,12:00 AM NUL,CSKA Moscow,67,Crvena Zvezda mts,78,,,Regular Season
Thu Dec 29 2016,12:00 AM NUL,Maccabi FOX Tel Aviv,88,Baskonia,101,,,Regular Season
Fri Dec 30 2016,12:00 AM NUL,Darussafaka Dogus,77,FC Barcelona Lassa,81,,,Regular Season
Fri Dec 30 2016,12:00 AM NUL,Brose Bamberg,90,Galatasaray Odeabank,75,,,Regular Season
Fri Dec 30 2016,12:00 AM NUL,Panathinaikos Superfoods,81,UNICS,83,,,Regular Season
Thu Jan 5 2017,12:00 AM NUL,Galatasaray Odeabank,73,Anadolu Efes,84,,,Regular Season
Thu Jan 5 2017,12:00 AM NUL,FC Barcelona Lassa,65,Brose Bamberg,85,,,Regular Season
Thu Jan 5 2017,12:00 AM NUL,Darussafaka Dogus,92,Maccabi FOX Tel Aviv,93,,,Regular Season
Thu Jan 5 2017,12:00 AM NUL,UNICS,70,Baskonia,102,,,Regular Season
Fri Jan 6 2017,12:00 AM NUL,Panathinaikos Superfoods,69,Olympiacos,77,,,Regular Season
Fri Jan 6 2017,12:00 AM NUL,CSKA Moscow,85,Real Madrid,95,,,Regular Season
Fri Jan 6 2017,12:00 AM NUL,EA7 Emporio Armani Milan,79,Fenerbahce,86,,,Regular Season
Fri Jan 6 2017,12:00 AM NUL,Crvena Zvezda mts,77,Zalgiris,61,,,Regular Season
Thu Jan 12 2017,12:00 AM NUL,Olympiacos,69,FC Barcelona Lassa,67,,,Regular Season
Thu Jan 12 2017,12:00 AM NUL,Baskonia,89,Darussafaka Dogus,98,,,Regular Season
Thu Jan 12 2017,12:00 AM NUL,Fenerbahce,73,Crvena Zvezda mts,75,,,Regular Season
Thu Jan 12 2017,12:00 AM NUL,Brose Bamberg,58,UNICS,63,,,Regular Season
Fri Jan 13 2017,12:00 AM NUL,EA7 Emporio Armani Milan,64,CSKA Moscow,101,,,Regular Season
Fri Jan 13 2017,12:00 AM NUL,Zalgiris,79,Galatasaray Odeabank,87,,,Regular Season
Fri Jan 13 2017,12:00 AM NUL,Anadolu Efes,81,Panathinaikos Superfoods,92,,,Regular Season
Fri Jan 13 2017,12:00 AM NUL,Maccabi FOX Tel Aviv,75,Real Madrid,80,,,Regular Season
Thu Jan 19 2017,12:00 AM NUL,Anadolu Efes,78,FC Barcelona Lassa,89,,,Regular Season
Thu Jan 19 2017,12:00 AM NUL,Brose Bamberg,64,CSKA Moscow,85,,,Regular Season
Thu Jan 19 2017,12:00 AM NUL,Crvena Zvezda mts,71,Maccabi FOX Tel Aviv,67,,,Regular Season
Thu Jan 19 2017,12:00 AM NUL,Galatasaray Odeabank,87,EA7 Emporio Armani Milan,92,,,Regular Season
Thu Jan 19 2017,12:00 AM NUL,Panathinaikos Superfoods,63,Fenerbahce,84,,,Regular Season
Fri Jan 20 2017,12:00 AM NUL,UNICS,64,Darussafaka Dogus,71,,,Regular Season
Fri Jan 20 2017,12:00 AM NUL,Baskonia,62,Olympiacos,92,,,Regular Season
Fri Jan 20 2017,12:00 AM NUL,Real Madrid,74,Zalgiris,59,,,Regular Season
Tue Jan 24 2017,12:00 AM NUL,Maccabi FOX Tel Aviv,63,Galatasaray Odeabank,102,,,Regular Season
Tue Jan 24 2017,12:00 AM NUL,FC Barcelona Lassa,65,Panathinaikos Superfoods,71,,,Regular Season
Tue Jan 24 2017,12:00 AM NUL,Fenerbahce,86,UNICS,81,,,Regular Season
Tue Jan 24 2017,12:00 AM NUL,Crvena Zvezda mts,87,Baskonia,69,,,Regular Season
Tue Jan 24 2017,12:00 AM NUL,CSKA Moscow,74,Zalgiris,79,,,Regular Season
Wed Jan 25 2017,12:00 AM NUL,Darussafaka Dogus,81,Anadolu Efes,93,,,Regular Season
Wed Jan 25 2017,12:00 AM NUL,Real Madrid,91,Brose Bamberg,89,,,Regular Season
Wed Jan 25 2017,12:00 AM NUL,Olympiacos,83,EA7 Emporio Armani Milan,99,,,Regular Season
Thu Jan 26 2017,12:00 AM NUL,UNICS,52,Maccabi FOX Tel Aviv,60,,,Regular Season
Thu Jan 26 2017,12:00 AM NUL,Panathinaikos Superfoods,66,Crvena Zvezda mts,72,,,Regular Season
Thu Jan 26 2017,12:00 AM NUL,Galatasaray Odeabank,80,Fenerbahce,85,,,Regular Season
Fri Jan 27 2017,12:00 AM NUL,Baskonia,93,FC Barcelona Lassa,79,,,Regular Season
Fri Jan 27 2017,12:00 AM NUL,Anadolu Efes,77,CSKA Moscow,80,,,Regular Season
Fri Jan 27 2017,12:00 AM NUL,Zalgiris,69,Darussafaka Dogus,66,,,Regular Season
Fri Jan 27 2017,12:00 AM NUL,Brose Bamberg,77,Olympiacos,83,,,Regular Season
Fri Jan 27 2017,12:00 AM NUL,EA7 Emporio Armani Milan,89,Real Madrid,94,,,Regular Season
Thu Feb 2 2017,12:00 AM NUL,Maccabi FOX Tel Aviv,75,Brose Bamberg,90,,,Regular Season
Thu Feb 2 2017,12:00 AM NUL,Darussafaka Dogus,87,EA7 Emporio Armani Milan,89,,,Regular Season
Thu Feb 2 2017,12:00 AM NUL,CSKA Moscow,71,Fenerbahce,77,,,Regular Season
Thu Feb 2 2017,12:00 AM NUL,Olympiacos,90,UNICS,75,,,Regular Season
Thu Feb 2 2017,12:00 AM NUL,FC Barcelona Lassa,85,Zalgiris,89,,,Regular Season
Fri Feb 3 2017,12:00 AM NUL,Panathinaikos Superfoods,84,Galatasaray Odeabank,79,,,Regular Season
Fri Feb 3 2017,12:00 AM NUL,Anadolu Efes,86,Crvena Zvezda mts,72,,,Regular Season
Fri Feb 3 2017,12:00 AM NUL,Real Madrid,79,Baskonia,71,,,Regular Season
Thu Feb 9 2017,12:00 AM NUL,EA7 Emporio Armani Milan,86,Anadolu Efes,90,,,Regular Season
Thu Feb 9 2017,12:00 AM NUL,Crvena Zvezda mts,80,CSKA Moscow,102,,,Regular Season
Thu Feb 9 2017,12:00 AM NUL,Baskonia,84,Maccabi FOX Tel Aviv,85,,,Regular Season
Thu Feb 9 2017,12:00 AM NUL,Brose Bamberg,72,Panathinaikos Superfoods,81,,,Regular Season
Thu Feb 9 2017,12:00 AM NUL,Real Madrid,81,UNICS,77,,,Regular Season
Fri Feb 10 2017,12:00 AM NUL,Galatasaray Odeabank,69,FC Barcelona Lassa,62,,,Regular Season
Fri Feb 10 2017,12:00 AM NUL,Fenerbahce,65,Darussafaka Dogus,72,,,Regular Season
Fri Feb 10 2017,12:00 AM NUL,Zalgiris,64,Olympiacos,73,,,Regular Season
Thu Feb 23 2017,12:00 AM NUL,Maccabi FOX Tel Aviv,81,CSKA Moscow,93,,,Regular Season
Thu Feb 23 2017,12:00 AM NUL,FC Barcelona Lassa,83,EA7 Emporio Armani Milan,78,,,Regular Season
Thu Feb 23 2017,12:00 AM NUL,Galatasaray Odeabank,58,Crvena Zvezda mts,77,,,Regular Season
Thu Feb 23 2017,12:00 AM NUL,Olympiacos,64,Fenerbahce,67,,,Regular Season
Fri Feb 24 2017,12:00 AM NUL,Baskonia,85,Anadolu Efes,96,,,Regular Season
Fri Feb 24 2017,12:00 AM NUL,Zalgiris,91,Brose Bamberg,86,,,Regular Season
Fri Feb 24 2017,12:00 AM NUL,UNICS,82,Panathinaikos Superfoods,83,,,Regular Season
Fri Feb 24 2017,12:00 AM NUL,Darussafaka Dogus,83,Real Madrid,101,,,Regular Season
Thu Mar 2 2017,12:00 AM NUL,Real Madrid,84,Galatasaray Odeabank,87,,,Regular Season
